student_id,jurusan,semester_ke,mata_kuliah,sks,nilai,bobot_nilai,kemampuan_laten
S1,Farmasi,1,Pancasila,2,A,4.0,0.53
S1,Farmasi,1,Fisiologi,4,B+,3.3,0.53
S1,Farmasi,1,Seminar,1,A,4.0,0.53
S1,Farmasi,1,Kewirausahaan,2,A,4.0,0.53
S1,Farmasi,1,Bahasa Inggris,2,B+,3.3,0.53
S1,Farmasi,1,Bahasa Inggris,2,A-,3.7,0.53
S1,Farmasi,1,Bahasa Indonesia,2,A,4.0,0.53
S1,Farmasi,2,Bahasa Indonesia,2,A,4.0,0.53
S1,Farmasi,2,Skripsi,6,B-,2.7,0.53
S1,Farmasi,2,Kerja Praktik,3,A-,3.7,0.53
S1,Farmasi,2,Biokimia,3,B-,2.7,0.53
S1,Farmasi,2,Etika Profesi,2,A,4.0,0.53
S1,Farmasi,2,Metodologi Penelitian,2,A-,3.7,0.53
S1,Farmasi,3,Kewarganegaraan,2,A,4.0,0.53
S1,Farmasi,3,Bahasa Indonesia,2,B+,3.3,0.53
S1,Farmasi,3,Farmakologi,4,B+,3.3,0.53
S1,Farmasi,3,Kimia Dasar,3,B+,3.3,0.53
S1,Farmasi,3,Kimia Organik,3,B,3.0,0.53
S2,Sistem Informasi,1,Struktur Data,3,A,4.0,0.635
S2,Sistem Informasi,1,Pengantar Matematika,2,A-,3.7,0.635
S2,Sistem Informasi,1,Kalkulus I,3,B-,2.7,0.635
S2,Sistem Informasi,1,Jaringan Komputer,3,B+,3.3,0.635
S2,Sistem Informasi,1,Statistika,3,A,4.0,0.635
S2,Sistem Informasi,2,Kewarganegaraan,2,A-,3.7,0.635
S2,Sistem Informasi,2,Kimia Dasar,3,A-,3.7,0.635
S2,Sistem Informasi,2,Fisika Dasar II,3,A,4.0,0.635
S2,Sistem Informasi,2,Kecerdasan Buatan,3,C+,2.3,0.635
S2,Sistem Informasi,2,Agama,2,A,4.0,0.635
S2,Sistem Informasi,2,Grafika Komputer,3,C+,2.3,0.635
S2,Sistem Informasi,2,Basis Data,3,A,4.0,0.635
S2,Sistem Informasi,3,Basis Data,3,B,3.0,0.635
S2,Sistem Informasi,3,Seminar,1,A,4.0,0.635
S2,Sistem Informasi,3,Kewarganegaraan,2,A-,3.7,0.635
S2,Sistem Informasi,3,Agama,2,A-,3.7,0.635
S2,Sistem Informasi,3,Matematika Diskrit,3,B-,2.7,0.635
S2,Sistem Informasi,3,Etika Profesi,2,A,4.0,0.635
S2,Sistem Informasi,3,Bahasa Indonesia,2,A,4.0,0.635
S2,Sistem Informasi,4,Bahasa Indonesia,2,A,4.0,0.635
S2,Sistem Informasi,4,Kewirausahaan,2,A,4.0,0.635
S2,Sistem Informasi,4,Kerja Praktik,3,A,4.0,0.635
S2,Sistem Informasi,4,Kewirausahaan,2,A,4.0,0.635
S2,Sistem Informasi,4,Bahasa Indonesia,2,B+,3.3,0.635
S2,Sistem Informasi,4,Fisika,3,A-,3.7,0.635
S2,Sistem Informasi,5,Pemrograman Mobile,3,B+,3.3,0.635
S2,Sistem Informasi,5,Statistika Inferensial,3,C+,2.3,0.635
S2,Sistem Informasi,5,Metodologi Penelitian,2,A,4.0,0.635
S2,Sistem Informasi,5,Algoritma dan Pemrograman,4,A,4.0,0.635
S2,Sistem Informasi,5,Sistem Operasi,3,B-,2.7,0.635
S2,Sistem Informasi,5,Bahasa Inggris,2,A,4.0,0.635
S2,Sistem Informasi,5,Pancasila,2,A-,3.7,0.635
S2,Sistem Informasi,6,Pancasila,2,A-,3.7,0.635
S2,Sistem Informasi,6,Kalkulus III,3,B-,2.7,0.635
S2,Sistem Informasi,6,Pancasila,2,A,4.0,0.635
S2,Sistem Informasi,6,Aljabar Linear,3,B-,2.7,0.635
S2,Sistem Informasi,6,Fisika Dasar I,3,B+,3.3,0.635
S2,Sistem Informasi,6,Rekayasa Perangkat Lunak,3,B,3.0,0.635
S2,Sistem Informasi,6,Skripsi,6,A,4.0,0.635
S2,Sistem Informasi,7,Skripsi,6,A-,3.7,0.635
S2,Sistem Informasi,7,Pembelajaran Mesin,3,B+,3.3,0.635
S2,Sistem Informasi,7,Kimia Organik,3,C,2.0,0.635
S2,Sistem Informasi,7,Bahasa Inggris,2,B+,3.3,0.635
S2,Sistem Informasi,7,Pemrograman Berorientasi Objek,3,B+,3.3,0.635
S2,Sistem Informasi,7,Pemrograman Web,3,A-,3.7,0.635
S3,Akuntansi,1,Manajemen,3,A-,3.7,0.595
S3,Akuntansi,1,Kerja Praktik,3,A-,3.7,0.595
S3,Akuntansi,1,Pancasila,2,A,4.0,0.595
S3,Akuntansi,1,Perilaku Organisasi,3,A-,3.7,0.595
S3,Akuntansi,1,Skripsi,6,A,4.0,0.595
S3,Akuntansi,2,Agama,2,A,4.0,0.595
S3,Akuntansi,2,Metodologi Penelitian,2,A,4.0,0.595
S3,Akuntansi,2,Bahasa Indonesia,2,A,4.0,0.595
S3,Akuntansi,2,Kewirausahaan,2,A,4.0,0.595
S3,Akuntansi,2,Bahasa Indonesia,2,A,4.0,0.595
S3,Akuntansi,2,Agama,2,A,4.0,0.595
S4,Sistem Informasi,1,Kerja Praktik,3,B+,3.3,0.467
S4,Sistem Informasi,1,Skripsi,6,A,4.0,0.467
S4,Sistem Informasi,1,Jaringan Komputer,3,B,3.0,0.467
S4,Sistem Informasi,1,Kewirausahaan,2,B+,3.3,0.467
S4,Sistem Informasi,1,Metodologi Penelitian,2,A,4.0,0.467
S4,Sistem Informasi,2,Basis Data,3,A,4.0,0.467
S4,Sistem Informasi,2,Kimia Dasar,3,A-,3.7,0.467
S4,Sistem Informasi,2,Pemrograman Mobile,3,A-,3.7,0.467
S4,Sistem Informasi,2,Aljabar Linear,3,B,3.0,0.467
S4,Sistem Informasi,2,Kewirausahaan,2,A-,3.7,0.467
S4,Sistem Informasi,3,Kalkulus II,3,B+,3.3,0.467
S4,Sistem Informasi,3,Agama,2,B,3.0,0.467
S4,Sistem Informasi,3,Bahasa Indonesia,2,A,4.0,0.467
S4,Sistem Informasi,3,Grafika Komputer,3,B,3.0,0.467
S4,Sistem Informasi,3,Kalkulus I,3,B+,3.3,0.467
S4,Sistem Informasi,3,Bahasa Indonesia,2,A-,3.7,0.467
S5,Teknik Informatika,1,Kecerdasan Buatan,3,A-,3.7,0.905
S5,Teknik Informatika,1,Pemrograman Web,3,A,4.0,0.905
S5,Teknik Informatika,1,Pancasila,2,A-,3.7,0.905
S5,Teknik Informatika,1,Seminar,1,A,4.0,0.905
S5,Teknik Informatika,1,Kewarganegaraan,2,A,4.0,0.905
S5,Teknik Informatika,1,Fisika Dasar I,3,A,4.0,0.905
S5,Teknik Informatika,2,Pemrograman Berorientasi Objek,3,B-,2.7,0.905
S5,Teknik Informatika,2,Statistika,3,A,4.0,0.905
S5,Teknik Informatika,2,Metodologi Penelitian,2,A,4.0,0.905
S5,Teknik Informatika,2,Kalkulus I,3,A-,3.7,0.905
S5,Teknik Informatika,2,Kimia Organik,3,A,4.0,0.905
S5,Teknik Informatika,2,Rekayasa Perangkat Lunak,3,C+,2.3,0.905
S5,Teknik Informatika,3,Sistem Operasi,3,B+,3.3,0.905
S5,Teknik Informatika,3,Etika Profesi,2,B+,3.3,0.905
S5,Teknik Informatika,3,Pemrograman Mobile,3,B,3.0,0.905
S5,Teknik Informatika,3,Fisika,3,A-,3.7,0.905
S5,Teknik Informatika,3,Matematika Diskrit,3,A,4.0,0.905
S5,Teknik Informatika,3,Jaringan Komputer,3,A-,3.7,0.905
S5,Teknik Informatika,4,Pembelajaran Mesin,3,A-,3.7,0.905
S5,Teknik Informatika,4,Bahasa Inggris,2,A,4.0,0.905
S5,Teknik Informatika,4,Aljabar Linear,3,A-,3.7,0.905
S5,Teknik Informatika,4,Agama,2,A,4.0,0.905
S5,Teknik Informatika,4,Pengantar Matematika,2,A-,3.7,0.905
S5,Teknik Informatika,4,Fisika Dasar II,3,B+,3.3,0.905
S5,Teknik Informatika,4,Statistika Inferensial,3,B,3.0,0.905
S5,Teknik Informatika,5,Statistika Inferensial,3,A,4.0,0.905
S5,Teknik Informatika,5,Kewirausahaan,2,A,4.0,0.905
