mata_kuliah,jurusan,mean_gp,std_gp,median_gp,pct_a_or_above,pct_below_b,pct_fail,iqr_gp,mean_ips_takers,sample_count,difficulty_cluster,difficulty_rank,difficulty_label,difficulty_score
Agama,Akuntansi,3.760869565217391,0.42183487768512046,4.0,0.8260869565217391,0.08695652173913043,0.0,0.2999999999999998,3.760869565217391,23,1,0,sangat_mudah,0.0
Agama,Biologi,3.7411764705882353,0.35365736159701916,4.0,0.7058823529411765,0.0,0.0,0.7000000000000002,3.7411764705882353,17,0,1,mudah,0.25
Agama,Farmasi,3.7818181818181817,0.33209048602615954,4.0,0.8181818181818182,0.0,0.0,0.2999999999999998,3.7818181818181817,33,1,0,sangat_mudah,0.0
Agama,Hukum,3.7866666666666666,0.3401149231062058,4.0,0.7666666666666667,0.0,0.0,0.2999999999999998,3.7866666666666666,30,1,0,sangat_mudah,0.0
Agama,Ilmu Komunikasi,3.835,0.2769337604776776,4.0,0.85,0.0,0.0,0.2999999999999998,3.835,40,1,0,sangat_mudah,0.0
Agama,Kedokteran,3.7239999999999998,0.3345145736735547,3.7,0.76,0.0,0.0,0.2999999999999998,3.7239999999999998,25,1,0,sangat_mudah,0.0
Agama,Manajemen,3.815625,0.25916662344846303,4.0,0.84375,0.0,0.0,0.2999999999999998,3.815625,32,1,0,sangat_mudah,0.0
Agama,Sistem Informasi,3.791891891891892,0.2649720932668387,4.0,0.8648648648648649,0.0,0.0,0.2999999999999998,3.791891891891892,37,1,0,sangat_mudah,0.0
Agama,Teknik Elektro,3.8400000000000003,0.19882004869908335,4.0,0.9428571428571428,0.0,0.0,0.2999999999999998,3.8400000000000003,35,1,0,sangat_mudah,0.0
Agama,Teknik Informatika,3.7700000000000005,0.38946657177005034,4.0,0.8,0.05,0.0,0.2999999999999998,3.7700000000000005,20,1,0,sangat_mudah,0.0
Agama,Teknik Mesin,3.891666666666667,0.21450988964060183,4.0,0.9166666666666666,0.0,0.0,0.07500000000000018,3.891666666666667,24,1,0,sangat_mudah,0.0
Agama,Teknik Sipil,3.8818181818181823,0.2217599810098504,4.0,0.9090909090909091,0.0,0.0,0.22499999999999964,3.8818181818181823,22,1,0,sangat_mudah,0.0
Akuntansi Keuangan,Akuntansi,3.0666666666666664,0.6651497894641797,3.15,0.3333333333333333,0.25,0.0,0.7750000000000004,3.0666666666666664,12,2,4,sangat_sulit,1.0
Akuntansi Keuangan,Manajemen,3.35,0.4702699715629801,3.3,0.35714285714285715,0.14285714285714285,0.0,0.40000000000000036,3.35,14,3,3,sulit,0.75
Algoritma dan Pemrograman,Sistem Informasi,3.4375,0.48010415536631207,3.3,0.4375,0.125,0.0,1.0,3.4375,16,3,3,sulit,0.75
Algoritma dan Pemrograman,Teknik Informatika,3.3,0.5398412465054623,3.15,0.375,0.25,0.0,0.8500000000000005,3.3,8,3,3,sulit,0.75
Aljabar Linear,Akuntansi,3.3272727272727276,0.5623004696617443,3.3,0.36363636363636365,0.18181818181818182,0.0,0.8500000000000001,3.3272727272727276,11,3,3,sulit,0.75
Aljabar Linear,Biologi,3.5100000000000002,0.562632700396587,3.7,0.7,0.1,0.0,0.75,3.5100000000000002,10,0,1,mudah,0.25
Aljabar Linear,Manajemen,3.275,0.626631204670392,3.3,0.3125,0.1875,0.0,0.5500000000000007,3.275,16,3,3,sulit,0.75
Aljabar Linear,Sistem Informasi,3.21,0.6155015071168859,3.15,0.4,0.35,0.0,1.0,3.21,20,2,4,sangat_sulit,1.0
Aljabar Linear,Teknik Elektro,3.388888888888889,0.4457497172825983,3.3,0.3888888888888889,0.1111111111111111,0.0,0.7000000000000002,3.388888888888889,18,3,3,sulit,0.75
Aljabar Linear,Teknik Informatika,3.2125,0.5718079098038833,3.15,0.375,0.25,0.0,0.7750000000000004,3.2125,8,3,3,sulit,0.75
Aljabar Linear,Teknik Mesin,3.5,0.5830951894845302,3.7,0.5833333333333334,0.16666666666666666,0.0,0.7750000000000004,3.5,12,4,2,medium,0.5
Aljabar Linear,Teknik Sipil,3.5083333333333333,0.566421515598881,3.7,0.6666666666666666,0.16666666666666666,0.0,0.7750000000000004,3.5083333333333333,12,4,2,medium,0.5
Anatomi,Farmasi,3.066666666666667,0.7600309591217514,3.15,0.3333333333333333,0.4444444444444444,0.0,1.625,3.066666666666667,18,2,4,sangat_sulit,1.0
Anatomi,Kedokteran,3.3153846153846156,0.5413657941511664,3.3,0.46153846153846156,0.23076923076923078,0.0,0.7000000000000002,3.3153846153846156,13,3,3,sulit,0.75
Bahasa Indonesia,Akuntansi,3.7758620689655173,0.38420155834981157,4.0,0.8620689655172413,0.034482758620689655,0.0,0.2999999999999998,3.7758620689655173,29,1,0,sangat_mudah,0.0
Bahasa Indonesia,Biologi,3.8055555555555554,0.2338230155788328,3.85,0.8888888888888888,0.0,0.0,0.2999999999999998,3.8055555555555554,18,1,0,sangat_mudah,0.0
Bahasa Indonesia,Farmasi,3.789473684210526,0.32780141787221223,4.0,0.868421052631579,0.02631578947368421,0.0,0.2999999999999998,3.789473684210526,38,1,0,sangat_mudah,0.0
